Timestamp_ms;M3_PosTremie_DI;M3_PosPVP2_DI;M3_PosPV_DI;M3_PosP1_DI;M3_PosMaintenance_DI;M3_BrakeIsOpen_DI;M3_ActualFrequencyHz;M3_StatusWord;M3_SetpointFrequencyHz;M3_CommandWord;M3_ThermalOK_DI;TranslationM3.Safety.Error;TranslationM3.Safety.ErrorId;TranslationM3.State.Error;TranslationM3.State.ErrorId
30065;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30162;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30265;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30365;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30464;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30561;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30670;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30753;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30852;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
30953;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31252;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31451;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31651;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31764;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31864;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
31965;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32070;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32153;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32251;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32351;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32652;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32738;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32851;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
32937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33051;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33252;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
33937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34038;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34237;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34337;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34437;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34537;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34637;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34737;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34837;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
34937;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
35037;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
35137;0;1;1;1;1;0;0;129;0;0;1;0;0;1;1
